10 2 0.1
10 2 1.1999999999999999556
10 2 26.499999986733027
10 2 0.0
10 2 2789394.743038
10 2 0.0000000000000002749
10 2 -73849.26489
10 2 -0.000000000038243
10 2 5673894384748578493840380480930094
2 10 01000000000000001101011011110011101000001101001010110110110000001110000001011000110011010000011110101100000101001010110010101101
2 10 11000000000011001000000010110111110001000001001101010101010001110101101000110001101001001011110110111010000010100101001001101001
2 10 01111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2 10 01111111111111111010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2 10 00000000000000000111010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2 10 11111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2 00000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111 - 10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
2 11111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 + 01111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2 11111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 + 01111111111111100000000100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000
2 01111111111111100000000100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000 + 11111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2 01111111111111100000000100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000 + 01111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2 11111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 - 01111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2 11111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 + 01111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2 11111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 - 11111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2 11111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 - 01111111111111100000000100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000
2 01111111111111110000000100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000 - 11111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2 10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010 * 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010
2 10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010 * 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010
2 00000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111 * 00000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
2 01000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111 * 01000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
2 01111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111 * 01111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
2 01111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111 * 01111111111111001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110
2 01111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111 * 11111111111111001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110
2 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001 * 00000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
2 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001 * 10000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
2 00000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111 * 10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
2 11111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 * 01111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2 11111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 * 01111111111111100000000100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000
2 01111111111111100000000100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000 * 11111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2 01111111111111100000000100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000 * 01111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 
2 11111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 * 01111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2 11111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 * 01111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2 11111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 * 11111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2 11111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 * 01111111111111100000000100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000
2 01111111111111110000000100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000 * 11111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2 10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010 / 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010
2 10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010 / 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010
2 00000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111 / 00000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
2 01000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111 / 01000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
2 01111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111 / 01111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
2 01111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111 / 01111111111111001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110
2 01111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111 / 11111111111111001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110
2 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001 / 00000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
2 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001 / 10000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
2 00000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111 / 10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
2 11111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 / 01111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2 11111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 / 01111111111111100000000100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000
2 01111111111111100000000100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000 / 11111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2 01111111111111100000000100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000 / 01111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2 11111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 / 01111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2 11111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 / 01111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2 11111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 / 11111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2 11111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 / 01111111111111100000000100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000
2 01111111111111110000000100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000 / 11111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
10 2 0.0000000000000000000542101086242752217003726400434970855712890625
10 2 -0.1234
2 10 01000000000110011101011011110011010001010100011111100110100110101101010000101100001111001001111011101100101111111011000101011011
2 10 11000000000110011101011011110011010001010100011111100110100110101101010000101100001111001001111011101100101111111011000101011011
10 1111122222333334444455555.5555544444333332222211111 - 1111122222333334444455555.5555544444333332222211111
10 -1111122222333334444455555.12345 - 5555544444333332222211111.54321
10 9876543212345678987654321.123456789 - 12345678987654321.987654321
10 0 * 99999999999999999999999999999.88888888888888888888888888
10 -111112222233333.555566667777 * -0.0000000000000000000542101086242752217003726400434970855712890625
10 -1 / 3
10 0 / 123.456
10 -1 / -4
2 01000000000110011101011011110011010001010100011111100110100110101101010000101100001111001001111011101100101111111011000101011011 + 11000000000110011101011011110011010001010100011111100110100110101101010000101100001111001001111011101100101111111011000101011011
2 01000000000110011101011011110011010001010100011111100110100110101101010000101100001111001001111011101100101111111011000101011011 - 11000000000110011101011011110011010001010100011111100110100110101101010000101100001111001001111011101100101111111011000101011011
2 01000000000110011101011011110011010001010100011111100110100110101101010000101100001111001001111011101100101111111011000101011011 * 11000000000110011101011011110011010001010100011111100110100110101101010000101100001111001001111011101100101111111011000101011011
2 01000000000110011101011011110011010001010100011111100110100110101101010000101100001111001001111011101100101111111011000101011011 / 11000000000110011101011011110011010001010100011111100110100110101101010000101100001111001001111011101100101111111011000101011011
10 0 + 0
10 5.375 - -23.40625
10 0.3 * 0.7
10 26.8 / -7.6
10 2 5.375
10 2 -23.40625
2 10 01000000000000010101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2 10 11000000000000110111011010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
10 2 28.78125
2 10 01000000000000111100110010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2 01000000000000010101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 - 11000000000000110111011010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
10 0.3 + 0
10 0.299999999999999999999999999999999999999999999999 + 0.00000000000000000000000000000000000001
10 0.29999999999999999999999 - 0
10 1 / 0
2 00111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 / 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
